,submission_date,state,tot_cases,tot_deaths
0,2020-01-27T00:00:00.000,AK,0,
1,2020-03-09T00:00:00.000,AK,0,
2,2020-04-16T00:00:00.000,AK,300,
3,2020-05-07T00:00:00.000,AK,374,
4,2020-05-17T00:00:00.000,AK,396,
5,2020-05-19T00:00:00.000,AK,399,
6,2020-05-27T00:00:00.000,AK,412,
7,2020-06-12T00:00:00.000,AK,625,
8,2020-07-10T00:00:00.000,AK,1323,
9,2020-07-12T00:00:00.000,AK,1479,
10,2020-08-06T00:00:00.000,AK,3484,
11,2020-08-08T00:00:00.000,AK,3613,
12,2020-08-09T00:00:00.000,AK,3711,
13,2020-08-10T00:00:00.000,AK,3775,
14,2020-11-11T00:00:00.000,AK,20207,
15,2020-12-03T00:00:00.000,AK,33291,
16,2020-12-06T00:00:00.000,AK,35720,
17,2020-12-27T00:00:00.000,AK,44280,
18,2021-01-28T00:00:00.000,AK,52150,
19,2021-02-10T00:00:00.000,AK,53991,
20,2020-01-22T00:00:00.000,AL,0,
21,2020-02-03T00:00:00.000,AL,0,
22,2020-02-15T00:00:00.000,AL,0,
23,2020-02-24T00:00:00.000,AL,0,
24,2020-03-07T00:00:00.000,AL,0,
25,2020-03-19T00:00:00.000,AL,78,
26,2020-03-31T00:00:00.000,AL,999,
27,2020-04-06T00:00:00.000,AL,2006,
28,2020-04-23T00:00:00.000,AL,6071,
29,2020-04-27T00:00:00.000,AL,6539,
30,2020-05-06T00:00:00.000,AL,8691,
31,2020-05-30T00:00:00.000,AL,17649,
32,2020-06-12T00:00:00.000,AL,23710,
33,2020-07-06T00:00:00.000,AL,44909,
34,2020-07-15T00:00:00.000,AL,59113,
35,2020-07-16T00:00:00.000,AL,61143,
36,2020-09-10T00:00:00.000,AL,135565,
37,2020-09-20T00:00:00.000,AL,144962,
38,2020-11-03T00:00:00.000,AL,195929,
39,2020-12-15T00:00:00.000,AL,301533,
40,2020-12-26T00:00:00.000,AL,343458,
41,2021-01-16T00:00:00.000,AL,420681,
42,2021-01-20T00:00:00.000,AL,429655,
43,2021-01-27T00:00:00.000,AL,449086,
44,2020-01-29T00:00:00.000,AR,0,
45,2020-02-18T00:00:00.000,AR,0,
46,2020-03-27T00:00:00.000,AR,386,
47,2020-04-03T00:00:00.000,AR,738,
48,2020-05-04T00:00:00.000,AR,3469,
49,2020-05-08T00:00:00.000,AR,3747,
50,2020-06-29T00:00:00.000,AR,20257,
51,2020-07-16T00:00:00.000,AR,31114,
52,2020-10-12T00:00:00.000,AR,93487,
53,2020-12-02T00:00:00.000,AR,161521,
54,2021-01-29T00:00:00.000,AR,292563,
55,2021-01-31T00:00:00.000,AR,295268,
56,2020-02-13T00:00:00.000,AS,0,
57,2020-03-04T00:00:00.000,AS,0,
58,2020-04-22T00:00:00.000,AS,0,
59,2020-06-09T00:00:00.000,AS,0,
60,2020-08-03T00:00:00.000,AS,0,
61,2020-08-24T00:00:00.000,AS,0,
62,2020-08-25T00:00:00.000,AS,0,
63,2020-09-30T00:00:00.000,AS,0,
64,2020-11-30T00:00:00.000,AS,3,
65,2020-12-16T00:00:00.000,AS,3,
66,2020-12-18T00:00:00.000,AS,3,
67,2020-12-28T00:00:00.000,AS,3,
68,2021-01-02T00:00:00.000,AS,3,
69,2021-01-22T00:00:00.000,AS,3,
70,2020-01-23T00:00:00.000,AZ,0,
71,2020-02-03T00:00:00.000,AZ,1,
72,2020-03-16T00:00:00.000,AZ,18,
73,2020-03-25T00:00:00.000,AZ,401,
74,2020-04-12T00:00:00.000,AZ,3539,
75,2020-05-19T00:00:00.000,AZ,14566,
76,2020-05-26T00:00:00.000,AZ,16783,
77,2020-06-13T00:00:00.000,AZ,34458,
78,2020-06-19T00:00:00.000,AZ,46689,
79,2020-07-19T00:00:00.000,AZ,143624,
80,2020-07-20T00:00:00.000,AZ,145183,
81,2020-08-01T00:00:00.000,AZ,177022,
82,2020-08-03T00:00:00.000,AZ,179497,
83,2020-08-18T00:00:00.000,AZ,194920,
84,2020-08-24T00:00:00.000,AZ,198414,
85,2020-09-16T00:00:00.000,AZ,209907,
86,2020-10-05T00:00:00.000,AZ,221070,
87,2020-10-31T00:00:00.000,AZ,245946,
88,2020-12-20T00:00:00.000,AZ,453597,
89,2020-12-27T00:00:00.000,AZ,494337,
90,2020-12-28T00:00:00.000,AZ,504423,
91,2020-12-29T00:00:00.000,AZ,507222,
92,2020-12-31T00:00:00.000,AZ,520207,
93,2021-01-12T00:00:00.000,AZ,636100,
94,2021-01-25T00:00:00.000,AZ,727895,
95,2021-02-12T00:00:00.000,AZ,793532,
96,2021-02-17T00:00:00.000,AZ,801055,
97,2020-01-25T00:00:00.000,CA,0,
98,2020-02-21T00:00:00.000,CA,10,
99,2020-02-24T00:00:00.000,CA,10,
100,2020-03-29T00:00:00.000,CA,5739,
101,2020-04-03T00:00:00.000,CA,12024,
102,2020-04-13T00:00:00.000,CA,22348,
103,2020-05-08T00:00:00.000,CA,62512,
104,2020-05-09T00:00:00.000,CA,64561,
105,2020-07-04T00:00:00.000,CA,254745,
106,2020-08-12T00:00:00.000,CA,586056,
107,2020-09-14T00:00:00.000,CA,757778,
108,2020-09-18T00:00:00.000,CA,769831,
109,2020-10-11T00:00:00.000,CA,846579,
110,2020-11-02T00:00:00.000,CA,930628,
111,2020-11-12T00:00:00.000,CA,991609,
112,2021-01-02T00:00:00.000,CA,2345909,
113,2020-03-08T00:00:00.000,CO,8,
114,2020-03-31T00:00:00.000,CO,2966,
115,2020-04-10T00:00:00.000,CO,6365,
116,2020-05-12T00:00:00.000,CO,20091,
117,2020-05-30T00:00:00.000,CO,26098,
118,2020-07-22T00:00:00.000,CO,41698,
119,2020-08-19T00:00:00.000,CO,53901,
120,2020-09-02T00:00:00.000,CO,58019,
121,2020-09-03T00:00:00.000,CO,58287,
122,2020-09-04T00:00:00.000,CO,58655,
123,2020-09-09T00:00:00.000,CO,59920,
124,2020-10-07T00:00:00.000,CO,74922,
125,2020-10-16T00:00:00.000,CO,83230,
126,2020-10-30T00:00:00.000,CO,104426,
127,2020-11-29T00:00:00.000,CO,228772,
128,2020-12-31T00:00:00.000,CO,334097,
129,2021-01-24T00:00:00.000,CO,386285,
130,2021-02-23T00:00:00.000,CO,422390,
131,2021-02-24T00:00:00.000,CO,423558,
132,2020-01-31T00:00:00.000,CT,0,
133,2020-03-12T00:00:00.000,CT,7,
134,2020-04-12T00:00:00.000,CT,12035,
135,2020-04-17T00:00:00.000,CT,16809,
136,2020-04-23T00:00:00.000,CT,23100,
137,2020-05-10T00:00:00.000,CT,33554,
138,2020-05-29T00:00:00.000,CT,41762,
139,2020-06-16T00:00:00.000,CT,45349,
140,2020-06-19T00:00:00.000,CT,45557,
141,2020-06-20T00:00:00.000,CT,45715,
142,2020-07-05T00:00:00.000,CT,46717,
143,2020-10-26T00:00:00.000,CT,68099,
144,2020-11-10T00:00:00.000,CT,82987,
145,2020-12-20T00:00:00.000,CT,162782,
146,2021-01-15T00:00:00.000,CT,223422,
147,2021-01-21T00:00:00.000,CT,235796,
148,2021-02-06T00:00:00.000,CT,259372,
149,2021-02-24T00:00:00.000,CT,278184,
150,2020-02-08T00:00:00.000,DC,0,
151,2020-02-16T00:00:00.000,DC,0,
152,2020-03-15T00:00:00.000,DC,17,
153,2020-05-04T00:00:00.000,DC,5170,
154,2020-07-23T00:00:00.000,DC,11571,
155,2020-08-12T00:00:00.000,DC,12959,
156,2020-10-04T00:00:00.000,DC,15519,
157,2020-12-26T00:00:00.000,DC,27710,
158,2021-02-17T00:00:00.000,DC,39180,
159,2020-02-22T00:00:00.000,DE,0,
160,2020-02-25T00:00:00.000,DE,0,
161,2020-03-04T00:00:00.000,DE,0,
162,2020-03-18T00:00:00.000,DE,26,
163,2020-03-31T00:00:00.000,DE,319,
164,2020-04-16T00:00:00.000,DE,2075,
165,2020-04-21T00:00:00.000,DE,3200,
166,2020-04-29T00:00:00.000,DE,4734,
167,2020-05-14T00:00:00.000,DE,7373,
168,2020-06-03T00:00:00.000,DE,9746,
169,2020-07-12T00:00:00.000,DE,12879,
170,2020-09-01T00:00:00.000,DE,17535,
171,2020-09-08T00:00:00.000,DE,18308,
172,2020-10-02T00:00:00.000,DE,21125,
173,2020-10-14T00:00:00.000,DE,22465,
174,2020-10-23T00:00:00.000,DE,23687,
175,2020-11-05T00:00:00.000,DE,25753,
176,2020-11-08T00:00:00.000,DE,26603,
177,2020-11-17T00:00:00.000,DE,29755,
178,2020-12-11T00:00:00.000,DE,44876,
179,2020-12-27T00:00:00.000,DE,55057,
180,2021-02-03T00:00:00.000,DE,78982,
181,2021-02-22T00:00:00.000,DE,85090,
182,2020-01-23T00:00:00.000,FL,0,
183,2020-02-10T00:00:00.000,FL,0,
184,2020-02-29T00:00:00.000,FL,0,
185,2020-03-13T00:00:00.000,FL,31,
186,2020-06-10T00:00:00.000,FL,65779,
187,2020-07-13T00:00:00.000,FL,278667,
188,2020-07-22T00:00:00.000,FL,374920,
189,2020-09-16T00:00:00.000,FL,663234,
190,2020-09-19T00:00:00.000,FL,673194,
191,2020-09-30T00:00:00.000,FL,698051,
192,2020-10-03T00:00:00.000,FL,705938,
193,2020-10-10T00:00:00.000,FL,720001,
194,2020-12-03T00:00:00.000,FL,1012456,
195,2021-01-17T00:00:00.000,FL,1542567,
196,2021-01-26T00:00:00.000,FL,1637296,
197,2021-02-18T00:00:00.000,FL,1816108,
198,2021-02-19T00:00:00.000,FL,1822644,
199,2020-01-30T00:00:00.000,FSM,0,
200,2020-03-08T00:00:00.000,FSM,0,
201,2020-03-13T00:00:00.000,FSM,0,
202,2020-03-15T00:00:00.000,FSM,0,
203,2020-03-20T00:00:00.000,FSM,0,
204,2020-03-31T00:00:00.000,FSM,0,
205,2020-04-06T00:00:00.000,FSM,0,
206,2020-04-23T00:00:00.000,FSM,0,
207,2020-05-01T00:00:00.000,FSM,0,
208,2020-05-04T00:00:00.000,FSM,0,
209,2020-05-16T00:00:00.000,FSM,0,
210,2020-07-17T00:00:00.000,FSM,0,
211,2020-08-26T00:00:00.000,FSM,0,
212,2020-09-12T00:00:00.000,FSM,0,
213,2020-10-25T00:00:00.000,FSM,0,
214,2020-11-04T00:00:00.000,FSM,0,
215,2021-01-30T00:00:00.000,FSM,1,
216,2021-02-12T00:00:00.000,FSM,1,
217,2021-02-16T00:00:00.000,FSM,1,
218,2020-01-26T00:00:00.000,GA,0,
219,2020-03-02T00:00:00.000,GA,3,
220,2020-03-06T00:00:00.000,GA,8,
221,2020-03-07T00:00:00.000,GA,11,
222,2020-03-11T00:00:00.000,GA,55,
223,2020-04-15T00:00:00.000,GA,14819,
224,2020-04-20T00:00:00.000,GA,18416,
225,2020-06-10T00:00:00.000,GA,52910,
226,2020-06-11T00:00:00.000,GA,54011,
227,2020-07-17T00:00:00.000,GA,137102,
228,2020-07-20T00:00:00.000,GA,147804,
229,2020-07-25T00:00:00.000,GA,168460,
230,2020-08-09T00:00:00.000,GA,221951,
231,2020-09-10T00:00:00.000,GA,301835,
232,2020-09-21T00:00:00.000,GA,322650,
233,2020-11-02T00:00:00.000,GA,391785,
234,2020-11-12T00:00:00.000,GA,416217,
235,2020-11-19T00:00:00.000,GA,437156,
236,2020-12-03T00:00:00.000,GA,487978,
237,2020-12-18T00:00:00.000,GA,576537,
238,2020-12-21T00:00:00.000,GA,591438,
239,2021-01-25T00:00:00.000,GA,870828,
240,2021-01-28T00:00:00.000,GA,892957,
241,2021-02-16T00:00:00.000,GA,969702,
242,2020-02-19T00:00:00.000,GU,0,
243,2020-02-27T00:00:00.000,GU,0,
244,2020-04-07T00:00:00.000,GU,122,
245,2020-05-26T00:00:00.000,GU,170,
246,2020-05-29T00:00:00.000,GU,172,
247,2020-06-02T00:00:00.000,GU,177,
248,2020-07-22T00:00:00.000,GU,332,
249,2020-07-26T00:00:00.000,GU,346,
250,2020-09-09T00:00:00.000,GU,1846,
251,2020-09-20T00:00:00.000,GU,2074,
252,2020-10-02T00:00:00.000,GU,2617,
253,2020-10-07T00:00:00.000,GU,2934,
254,2020-10-28T00:00:00.000,GU,4466,
255,2020-12-31T00:00:00.000,GU,7308,
256,2021-01-23T00:00:00.000,GU,7547,
257,2021-01-29T00:00:00.000,GU,7579,
258,2021-02-03T00:00:00.000,GU,7622,
259,2020-02-06T00:00:00.000,HI,0,
260,2020-04-09T00:00:00.000,HI,469,
261,2020-04-19T00:00:00.000,HI,576,
262,2020-04-26T00:00:00.000,HI,597,
263,2020-05-01T00:00:00.000,HI,607,
264,2020-05-16T00:00:00.000,HI,629,
265,2020-05-31T00:00:00.000,HI,644,
266,2020-06-02T00:00:00.000,HI,646,
267,2020-08-02T00:00:00.000,HI,2424,
268,2020-08-26T00:00:00.000,HI,7540,
269,2020-08-29T00:00:00.000,HI,8313,
270,2020-10-03T00:00:00.000,HI,12768,
271,2020-10-24T00:00:00.000,HI,14501,
272,2020-10-26T00:00:00.000,HI,14653,
273,2020-11-19T00:00:00.000,HI,16677,
274,2020-11-30T00:00:00.000,HI,17708,
275,2020-12-01T00:00:00.000,HI,17751,
276,2021-01-22T00:00:00.000,HI,24201,
277,2021-02-08T00:00:00.000,HI,25742,
278,2020-02-16T00:00:00.000,IA,0,
279,2020-03-15T00:00:00.000,IA,22,
280,2020-04-07T00:00:00.000,IA,1048,
281,2020-04-18T00:00:00.000,IA,2513,
282,2020-04-30T00:00:00.000,IA,7145,
283,2020-06-09T00:00:00.000,IA,22237,
284,2020-06-19T00:00:00.000,IA,25275,
285,2020-11-21T00:00:00.000,IA,207675,
286,2020-12-18T00:00:00.000,IA,264758,
287,2021-01-13T00:00:00.000,IA,300304,
288,2021-02-18T00:00:00.000,IA,331221,
289,2020-02-06T00:00:00.000,ID,0,
290,2020-03-13T00:00:00.000,ID,0,
291,2020-05-16T00:00:00.000,ID,2419,
292,2020-05-26T00:00:00.000,ID,2699,
293,2020-05-28T00:00:00.000,ID,2769,
294,2020-05-29T00:00:00.000,ID,2803,
295,2020-06-21T00:00:00.000,ID,4006,
296,2020-07-11T00:00:00.000,ID,10505,
297,2020-07-19T00:00:00.000,ID,14873,
298,2020-07-21T00:00:00.000,ID,15822,
299,2020-08-13T00:00:00.000,ID,26631,
300,2020-08-20T00:00:00.000,ID,29120,
301,2020-09-03T00:00:00.000,ID,32927,
302,2020-09-30T00:00:00.000,ID,42048,
303,2020-10-06T00:00:00.000,ID,45082,
304,2021-01-05T00:00:00.000,ID,144843,
305,2021-02-05T00:00:00.000,ID,164969,
306,2021-02-16T00:00:00.000,ID,167945,
307,2020-03-01T00:00:00.000,IL,3,
308,2020-04-02T00:00:00.000,IL,7695,
309,2020-06-12T00:00:00.000,IL,132059,
310,2020-06-22T00:00:00.000,IL,138224,
311,2020-11-07T00:00:00.000,IL,477978,
312,2020-11-28T00:00:00.000,IL,712936,
313,2020-12-09T00:00:00.000,IL,812430,
314,2020-12-13T00:00:00.000,IL,848904,
315,2020-12-15T00:00:00.000,IL,863477,
316,2021-01-13T00:00:00.000,IL,1046030,
317,2020-01-28T00:00:00.000,IN,0,
318,2020-02-13T00:00:00.000,IN,0,
319,2020-02-25T00:00:00.000,IN,0,
320,2020-04-24T00:00:00.000,IN,13680,
321,2020-05-13T00:00:00.000,IN,25473,
322,2020-06-05T00:00:00.000,IN,36578,
323,2020-07-05T00:00:00.000,IN,48008,
324,2020-07-17T00:00:00.000,IN,54813,
325,2020-07-24T00:00:00.000,IN,60598,
326,2020-07-31T00:00:00.000,IN,66154,
327,2020-08-06T00:00:00.000,IN,71015,
328,2020-09-19T00:00:00.000,IN,110759,
329,2020-09-23T00:00:00.000,IN,113337,
330,2020-10-08T00:00:00.000,IN,129677,
331,2020-10-14T00:00:00.000,IN,139269,
332,2021-01-25T00:00:00.000,IN,613228,
333,2021-01-26T00:00:00.000,IN,614946,
334,2020-05-14T00:00:00.000,KS,7468,
335,2020-06-15T00:00:00.000,KS,11419,
336,2020-07-12T00:00:00.000,KS,18611,
337,2020-07-27T00:00:00.000,KS,26172,
338,2020-08-21T00:00:00.000,KS,36856,
339,2020-08-22T00:00:00.000,KS,36856,
340,2020-09-27T00:00:00.000,KS,56592,
341,2020-10-21T00:00:00.000,KS,74456,
342,2020-11-16T00:00:00.000,KS,122741,
343,2020-11-27T00:00:00.000,KS,153021,
344,2020-11-29T00:00:00.000,KS,153021,
345,2020-12-10T00:00:00.000,KS,179803,
346,2021-01-10T00:00:00.000,KS,242322,
347,2021-02-05T00:00:00.000,KS,281562,
348,2021-02-11T00:00:00.000,KS,284894,
349,2021-02-19T00:00:00.000,KS,290832,
350,2020-01-23T00:00:00.000,KY,0,
351,2020-02-07T00:00:00.000,KY,0,
352,2020-02-18T00:00:00.000,KY,0,
353,2020-02-29T00:00:00.000,KY,0,
354,2020-03-19T00:00:00.000,KY,43,
355,2020-04-05T00:00:00.000,KY,955,
356,2020-04-10T00:00:00.000,KY,1693,
357,2020-04-22T00:00:00.000,KY,3373,
358,2020-05-04T00:00:00.000,KY,5245,
359,2020-05-22T00:00:00.000,KY,8426,
360,2020-07-13T00:00:00.000,KY,19653,
361,2020-07-28T00:00:00.000,KY,28126,
362,2020-07-30T00:00:00.000,KY,29386,
363,2020-07-31T00:00:00.000,KY,30151,
364,2020-08-05T00:00:00.000,KY,32741,
365,2020-08-11T00:00:00.000,KY,35793,
366,2020-10-11T00:00:00.000,KY,80292,
367,2021-02-20T00:00:00.000,KY,396018,
368,2020-01-23T00:00:00.000,LA,0,
369,2020-03-17T00:00:00.000,LA,190,
370,2020-06-04T00:00:00.000,LA,41562,
371,2020-06-29T00:00:00.000,LA,57081,
372,2020-06-30T00:00:00.000,LA,58095,
373,2020-10-24T00:00:00.000,LA,182603,
374,2020-10-28T00:00:00.000,LA,185822,
375,2020-12-10T00:00:00.000,LA,261329,
376,2021-01-04T00:00:00.000,LA,322181,
377,2021-01-30T00:00:00.000,LA,397276,
378,2021-02-06T00:00:00.000,LA,409861,
379,2021-02-16T00:00:00.000,LA,420394,
380,2020-01-29T00:00:00.000,MA,0,
381,2020-03-12T00:00:00.000,MA,108,
382,2020-04-01T00:00:00.000,MA,7738,
383,2020-04-24T00:00:00.000,MA,50969,
384,2020-07-26T00:00:00.000,MA,115637,
385,2020-08-14T00:00:00.000,MA,124081,
386,2020-08-21T00:00:00.000,MA,125159,
387,2020-09-05T00:00:00.000,MA,130253,
388,2020-09-12T00:00:00.000,MA,132533,
389,2020-10-28T00:00:00.000,MA,160394,
390,2020-12-19T00:00:00.000,MA,316824,
391,2020-12-21T00:00:00.000,MA,324746,
392,2021-01-04T00:00:00.000,MA,385351,
393,2020-01-27T00:00:00.000,MD,0,
394,2020-05-04T00:00:00.000,MD,27117,
395,2020-06-18T00:00:00.000,MD,63548,
396,2020-06-27T00:00:00.000,MD,66777,
397,2020-07-05T00:00:00.000,MD,69904,
398,2020-08-21T00:00:00.000,MD,103523,
399,2020-09-10T00:00:00.000,MD,114724,
400,2020-09-12T00:00:00.000,MD,116110,
401,2020-09-23T00:00:00.000,MD,121800,
402,2020-09-29T00:00:00.000,MD,124725,
403,2020-10-08T00:00:00.000,MD,130159,
404,2020-12-11T00:00:00.000,MD,232009,
405,2021-01-14T00:00:00.000,MD,320739,
406,2021-01-20T00:00:00.000,MD,334519,
407,2021-02-22T00:00:00.000,MD,377628,
408,2020-02-04T00:00:00.000,ME,0,
409,2020-02-16T00:00:00.000,ME,0,
410,2020-02-25T00:00:00.000,ME,0,
411,2020-02-28T00:00:00.000,ME,0,
412,2020-03-21T00:00:00.000,ME,70,
413,2020-04-07T00:00:00.000,ME,519,
414,2020-04-12T00:00:00.000,ME,633,
415,2020-04-22T00:00:00.000,ME,907,
416,2020-06-29T00:00:00.000,ME,3252,
417,2020-07-10T00:00:00.000,ME,3499,
418,2020-07-23T00:00:00.000,ME,3758,
419,2020-08-01T00:00:00.000,ME,3958,
420,2020-08-03T00:00:00.000,ME,3975,
421,2020-08-14T00:00:00.000,ME,4144,
422,2020-09-19T00:00:00.000,ME,5079,
423,2020-10-13T00:00:00.000,ME,5816,
424,2020-10-16T00:00:00.000,ME,5902,
425,2020-10-27T00:00:00.000,ME,6387,
426,2020-11-14T00:00:00.000,ME,8944,
427,2020-11-15T00:00:00.000,ME,9117,
428,2020-11-20T00:00:00.000,ME,10123,
429,2020-11-27T00:00:00.000,ME,11288,
430,2021-01-15T00:00:00.000,ME,33219,
431,2021-02-23T00:00:00.000,ME,43900,
432,2020-02-02T00:00:00.000,MI,0,
433,2020-02-12T00:00:00.000,MI,0,
434,2020-02-13T00:00:00.000,MI,0,
435,2020-04-16T00:00:00.000,MI,29263,
436,2020-04-29T00:00:00.000,MI,40399,
437,2020-05-11T00:00:00.000,MI,47552,
438,2020-05-26T00:00:00.000,MI,55104,
439,2020-06-16T00:00:00.000,MI,66269,
440,2020-08-11T00:00:00.000,MI,98213,
441,2020-09-07T00:00:00.000,MI,118403,
442,2020-10-20T00:00:00.000,MI,165994,
443,2020-11-11T00:00:00.000,MI,251872,
444,2020-11-17T00:00:00.000,MI,296840,
445,2020-12-16T00:00:00.000,MI,482815,
446,2021-01-21T00:00:00.000,MI,592382,
447,2021-02-13T00:00:00.000,MI,628956,
448,2020-01-23T00:00:00.000,MN,0,
449,2020-02-08T00:00:00.000,MN,0,
450,2020-02-12T00:00:00.000,MN,0,
451,2020-02-18T00:00:00.000,MN,0,
452,2020-03-01T00:00:00.000,MN,0,
453,2020-03-02T00:00:00.000,MN,0,
454,2020-05-21T00:00:00.000,MN,19005,
455,2020-08-12T00:00:00.000,MN,62296,
456,2020-08-23T00:00:00.000,MN,70298,
457,2020-09-03T00:00:00.000,MN,78966,
458,2020-09-14T00:00:00.000,MN,85351,
459,2020-12-01T00:00:00.000,MN,322312,
460,2020-12-15T00:00:00.000,MN,384164,
461,2020-12-18T00:00:00.000,MN,391889,
462,2020-12-19T00:00:00.000,MN,394635,
463,2020-12-23T00:00:00.000,MN,402519,
464,2021-01-08T00:00:00.000,MN,431944,
465,2021-01-21T00:00:00.000,MN,450762,
466,2021-02-16T00:00:00.000,MN,474621,
467,2021-02-22T00:00:00.000,MN,479591,
468,2020-01-28T00:00:00.000,MO,0,
469,2020-02-07T00:00:00.000,MO,0,
470,2020-02-08T00:00:00.000,MO,0,
471,2020-02-09T00:00:00.000,MO,0,
472,2020-03-27T00:00:00.000,MO,670,
473,2020-04-05T00:00:00.000,MO,2367,
474,2020-04-18T00:00:00.000,MO,5517,
475,2020-06-12T00:00:00.000,MO,15585,
476,2020-06-24T00:00:00.000,MO,18868,
477,2020-07-27T00:00:00.000,MO,43050,
478,2020-09-29T00:00:00.000,MO,124762,
479,2020-10-07T00:00:00.000,MO,135651,
480,2020-10-15T00:00:00.000,MO,150554,
481,2020-10-22T00:00:00.000,MO,162723,
482,2020-11-08T00:00:00.000,MO,209197,
483,2020-11-21T00:00:00.000,MO,271527,
484,2020-12-11T00:00:00.000,MO,338604,
485,2021-01-09T00:00:00.000,MO,420583,
486,2021-01-10T00:00:00.000,MO,423327,
487,2021-01-17T00:00:00.000,MO,437549,
488,2021-02-17T00:00:00.000,MO,473459,
489,2020-02-29T00:00:00.000,MP,0,
490,2020-04-04T00:00:00.000,MP,8,
491,2020-05-04T00:00:00.000,MP,14,
492,2020-05-24T00:00:00.000,MP,22,
493,2020-07-10T00:00:00.000,MP,31,
494,2020-07-19T00:00:00.000,MP,37,
495,2020-07-20T00:00:00.000,MP,38,
496,2020-07-21T00:00:00.000,MP,38,
497,2020-09-21T00:00:00.000,MP,69,
498,2020-10-06T00:00:00.000,MP,75,
499,2020-10-21T00:00:00.000,MP,88,
